CLAIM_ID,POLICY_ID,CLAIMANT_ID,LOSS_DATE,CLAIMED_AMOUNT,POLICY_TYPE,SUM_INSURED,DEDUCTIBLE,FRAUD_SCORE,FRAUD_RISK,ADJUDICATION_RESULT,ADJUDICATION_REASON,APPROVED_AMOUNT,PROCESSING_DATE,CLAIM_STATUS
CLM000050,POL0069,CLNT0023,2024-01-12,8000,LIFE,200000.0,5000.0,48.0,LOW,APPR,Auto-approved: within 25% of sum insured,3000.0,2024-01-15,APPR
CLM000051,POL0063,CLNT0065,2024-01-07,1000,HOME,100000.0,500.0,0.0,LOW,APPR,"Auto-approved: low risk, small claim",500.0,2024-01-15,APPR
CLM000053,POL0066,CLNT0077,2024-01-03,8000,RENT,50000.0,2000.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,6000.0,2024-01-15,APPR
CLM000054,POL0074,CLNT0060,2024-01-08,4500,HEALTH,50000.0,500.0,12.0,LOW,APPR,Auto-approved: within 25% of sum insured,4000.0,2024-01-15,APPR
CLM000055,POL0079,CLNT0051,2024-01-05,1000,AUTO,500000.0,2000.0,0.0,LOW,APPR,"Auto-approved: low risk, small claim",0.0,2024-01-15,APPR
CLM000056,POL0055,CLNT0028,2024-01-02,60000,LIFE,500000.0,2000.0,0.0,LOW,PEND,Large claim,,2024-01-15,PEND
CLM000057,POL0004,CLNT0001,2024-01-06,4500,LIFE,500000.0,500.0,71.0,MEDIUM,PEND,Medium fraud risk,,2024-01-15,PEND
CLM000058,POL0067,CLNT0010,2024-01-10,15000,RENT,50000.0,2000.0,0.0,LOW,PEND,Exceeds 25% threshold,,2024-01-15,PEND
CLM000059,POL0048,CLNT0024,2024-01-05,1000,RENT,200000.0,2000.0,0.0,LOW,APPR,"Auto-approved: low risk, small claim",0.0,2024-01-15,APPR
CLM000061,POL0055,CLNT0041,2024-01-11,2500,LIFE,500000.0,2000.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,500.0,2024-01-15,APPR
CLM000063,POL0004,CLNT0077,2024-01-14,60000,LIFE,500000.0,500.0,0.0,LOW,PEND,Large claim,,2024-01-15,PEND
CLM000064,POL0097,CLNT0039,2024-01-07,60000,HEALTH,200000.0,2000.0,0.0,LOW,PEND,Large claim; Exceeds 25% threshold,,2024-01-15,PEND
CLM000065,POL0053,CLNT0070,2024-01-02,2500,AUTO,500000.0,500.0,0.0,LOW,APPR,"Auto-approved: low risk, small claim",2000.0,2024-01-15,APPR
CLM000066,POL0048,CLNT0078,2024-01-01,8000,RENT,200000.0,2000.0,13.0,LOW,APPR,Auto-approved: within 25% of sum insured,6000.0,2024-01-15,APPR
CLM000067,POL0025,CLNT0068,2024-01-14,15000,LIFE,100000.0,2000.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,13000.0,2024-01-15,APPR
CLM000069,POL0009,CLNT0026,2024-01-11,4500,HOME,100000.0,5000.0,0.0,LOW,APPR,"Auto-approved: low risk, small claim",0.0,2024-01-15,APPR
CLM000070,POL0013,CLNT0078,2024-01-02,8000,LIFE,500000.0,5000.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,3000.0,2024-01-15,APPR
CLM000072,POL0092,CLNT0033,2024-01-01,15000,HOME,500000.0,5000.0,33.0,LOW,APPR,Auto-approved: within 25% of sum insured,10000.0,2024-01-15,APPR
CLM000073,POL0028,CLNT0006,2024-01-01,35000,RENT,50000.0,1000.0,0.0,LOW,PEND,Exceeds 25% threshold,,2024-01-15,PEND
CLM000074,POL0002,CLNT0063,2024-01-04,8000,HEALTH,200000.0,5000.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,3000.0,2024-01-15,APPR
CLM000076,POL0096,CLNT0007,2024-01-01,60000,RENT,500000.0,1000.0,0.0,LOW,PEND,Large claim,,2024-01-15,PEND
CLM000077,POL0085,CLNT0018,2024-01-14,60000,RENT,100000.0,500.0,0.0,LOW,PEND,Large claim; Exceeds 25% threshold,,2024-01-15,PEND
CLM000079,POL0077,CLNT0043,2024-01-04,1000,RENT,500000.0,2000.0,0.0,LOW,APPR,"Auto-approved: low risk, small claim",0.0,2024-01-15,APPR
CLM000080,POL0002,CLNT0064,2024-01-08,2500,HEALTH,200000.0,5000.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,0.0,2024-01-15,APPR
CLM000081,POL0052,CLNT0022,2024-01-12,15000,RENT,100000.0,2000.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,13000.0,2024-01-15,APPR
CLM000084,POL0047,CLNT0065,2024-01-01,4500,LIFE,100000.0,1000.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,3500.0,2024-01-15,APPR
CLM000087,POL0057,CLNT0005,2024-01-09,4500,LIFE,200000.0,5000.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,0.0,2024-01-15,APPR
CLM000088,POL0028,CLNT0030,2024-01-06,4500,RENT,50000.0,1000.0,34.0,LOW,APPR,"Auto-approved: low risk, small claim",3500.0,2024-01-15,APPR
CLM000089,POL0011,CLNT0076,2024-01-11,15000,HOME,500000.0,5000.0,30.0,LOW,APPR,Auto-approved: within 25% of sum insured,10000.0,2024-01-15,APPR
CLM000090,POL0072,CLNT0004,2024-01-01,8000,AUTO,100000.0,2000.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,6000.0,2024-01-15,APPR
CLM000092,POL0013,CLNT0009,2024-01-10,15000,LIFE,500000.0,5000.0,35.0,LOW,APPR,Auto-approved: within 25% of sum insured,10000.0,2024-01-15,APPR
CLM000095,POL0056,CLNT0061,2024-01-14,2500,AUTO,200000.0,2000.0,0.0,LOW,APPR,"Auto-approved: low risk, small claim",500.0,2024-01-15,APPR
CLM000096,POL0097,CLNT0057,2024-01-05,4500,HEALTH,200000.0,2000.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,2500.0,2024-01-15,APPR
CLM000097,POL0066,CLNT0052,2024-01-07,4500,RENT,50000.0,2000.0,0.0,LOW,APPR,"Auto-approved: low risk, small claim",2500.0,2024-01-15,APPR
CLM000098,POL0044,CLNT0062,2024-01-06,1000,LIFE,50000.0,1000.0,39.0,LOW,APPR,Auto-approved: within 25% of sum insured,0.0,2024-01-15,APPR
CLM000100,POL0077,CLNT0069,2024-01-06,15000,RENT,500000.0,2000.0,34.0,LOW,APPR,Auto-approved: within 25% of sum insured,13000.0,2024-01-15,APPR
CLM000101,POL0082,CLNT0059,2024-01-03,4500,RENT,500000.0,500.0,0.0,LOW,APPR,"Auto-approved: low risk, small claim",4000.0,2024-01-15,APPR
CLM000103,POL0081,CLNT0032,2024-01-05,2500,HOME,50000.0,2000.0,26.0,LOW,APPR,"Auto-approved: low risk, small claim",500.0,2024-01-15,APPR
CLM000104,POL0060,CLNT0064,2024-01-02,1000,RENT,500000.0,1000.0,58.0,MEDIUM,PEND,Medium fraud risk,,2024-01-15,PEND
CLM000105,POL0084,CLNT0031,2024-01-06,35000,RENT,50000.0,5000.0,0.0,LOW,PEND,Exceeds 25% threshold,,2024-01-15,PEND
CLM000107,POL0099,CLNT0072,2024-01-03,2500,HOME,200000.0,500.0,0.0,LOW,APPR,"Auto-approved: low risk, small claim",2000.0,2024-01-15,APPR
CLM000108,POL0097,CLNT0019,2024-01-01,2500,HEALTH,200000.0,2000.0,96.0,HIGH,DENY,High fraud risk - SIU referral,0.0,2024-01-15,DENY
CLM000109,POL0001,CLNT0009,2024-01-02,2500,HOME,50000.0,2000.0,10.0,LOW,APPR,"Auto-approved: low risk, small claim",500.0,2024-01-15,APPR
CLM000110,POL0078,CLNT0050,2024-01-08,8000,LIFE,200000.0,500.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,7500.0,2024-01-15,APPR
CLM000111,POL0029,CLNT0019,2024-01-04,8000,RENT,500000.0,2000.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,6000.0,2024-01-15,APPR
CLM000112,POL0068,CLNT0068,2024-01-07,2500,HOME,50000.0,5000.0,0.0,LOW,APPR,"Auto-approved: low risk, small claim",0.0,2024-01-15,APPR
CLM000113,POL0062,CLNT0036,2024-01-01,1000,AUTO,50000.0,2000.0,36.0,LOW,APPR,"Auto-approved: low risk, small claim",0.0,2024-01-15,APPR
CLM000116,POL0037,CLNT0041,2024-01-07,15000,LIFE,100000.0,500.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,14500.0,2024-01-15,APPR
CLM000117,POL0005,CLNT0021,2024-01-08,8000,RENT,100000.0,5000.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,3000.0,2024-01-15,APPR
CLM000118,POL0090,CLNT0054,2024-01-11,1000,RENT,500000.0,5000.0,0.0,LOW,APPR,"Auto-approved: low risk, small claim",0.0,2024-01-15,APPR
CLM000120,POL0013,CLNT0003,2024-01-12,2500,LIFE,500000.0,5000.0,85.0,HIGH,DENY,High fraud risk - SIU referral,0.0,2024-01-15,DENY
CLM000121,POL0044,CLNT0061,2024-01-08,35000,LIFE,50000.0,1000.0,40.0,LOW,PEND,Exceeds 25% threshold,,2024-01-15,PEND
CLM000122,POL0070,CLNT0032,2024-01-04,60000,RENT,200000.0,500.0,0.0,LOW,PEND,Large claim; Exceeds 25% threshold,,2024-01-15,PEND
CLM000123,POL0029,CLNT0056,2024-01-04,60000,RENT,500000.0,2000.0,20.0,LOW,PEND,Large claim,,2024-01-15,PEND
CLM000127,POL0067,CLNT0021,2024-01-13,1000,RENT,50000.0,2000.0,22.0,LOW,APPR,"Auto-approved: low risk, small claim",0.0,2024-01-15,APPR
CLM000128,POL0068,CLNT0019,2024-01-07,1000,HOME,50000.0,5000.0,0.0,LOW,APPR,"Auto-approved: low risk, small claim",0.0,2024-01-15,APPR
CLM000130,POL0061,CLNT0068,2024-01-10,8000,LIFE,200000.0,500.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,7500.0,2024-01-15,APPR
CLM000131,POL0049,CLNT0042,2024-01-05,1000,LIFE,200000.0,5000.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,0.0,2024-01-15,APPR
CLM000132,POL0094,CLNT0028,2024-01-04,35000,HOME,500000.0,5000.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,30000.0,2024-01-15,APPR
CLM000133,POL0067,CLNT0062,2024-01-11,15000,RENT,50000.0,2000.0,31.0,LOW,PEND,Exceeds 25% threshold,,2024-01-15,PEND
CLM000134,POL0038,CLNT0068,2024-01-05,8000,RENT,50000.0,1000.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,7000.0,2024-01-15,APPR
CLM000136,POL0085,CLNT0024,2024-01-14,2500,RENT,100000.0,500.0,16.0,LOW,APPR,"Auto-approved: low risk, small claim",2000.0,2024-01-15,APPR
CLM000137,POL0088,CLNT0057,2024-01-07,2500,RENT,50000.0,2000.0,0.0,LOW,APPR,"Auto-approved: low risk, small claim",500.0,2024-01-15,APPR
CLM000140,POL0039,CLNT0032,2024-01-07,15000,HOME,200000.0,5000.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,10000.0,2024-01-15,APPR
CLM000144,POL0031,CLNT0071,2024-01-03,35000,RENT,200000.0,2000.0,15.0,LOW,APPR,Auto-approved: within 25% of sum insured,33000.0,2024-01-15,APPR
CLM000145,POL0099,CLNT0069,2024-01-09,35000,HOME,200000.0,500.0,25.0,LOW,APPR,Auto-approved: within 25% of sum insured,34500.0,2024-01-15,APPR
CLM000146,POL0074,CLNT0015,2024-01-01,2500,HEALTH,50000.0,500.0,51.0,MEDIUM,PEND,Medium fraud risk,,2024-01-15,PEND
CLM000148,POL0021,CLNT0007,2024-01-02,1000,AUTO,100000.0,1000.0,63.0,MEDIUM,PEND,Medium fraud risk,,2024-01-15,PEND
CLM000150,POL0053,CLNT0028,2024-01-13,1000,AUTO,500000.0,500.0,66.0,MEDIUM,PEND,Medium fraud risk,,2024-01-15,PEND
CLM000151,POL0086,CLNT0036,2024-01-02,2500,HEALTH,500000.0,5000.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,0.0,2024-01-15,APPR
CLM000153,POL0018,CLNT0034,2024-01-14,2500,AUTO,50000.0,1000.0,0.0,LOW,APPR,"Auto-approved: low risk, small claim",1500.0,2024-01-15,APPR
CLM000154,POL0018,CLNT0064,2024-01-03,4500,AUTO,50000.0,1000.0,38.0,LOW,APPR,"Auto-approved: low risk, small claim",3500.0,2024-01-15,APPR
CLM000155,POL0055,CLNT0043,2024-01-12,4500,LIFE,500000.0,2000.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,2500.0,2024-01-15,APPR
CLM000156,POL0013,CLNT0079,2024-01-01,2500,LIFE,500000.0,5000.0,47.0,LOW,APPR,Auto-approved: within 25% of sum insured,0.0,2024-01-15,APPR
CLM000157,POL0069,CLNT0051,2024-01-03,15000,LIFE,200000.0,5000.0,86.0,HIGH,DENY,High fraud risk - SIU referral,0.0,2024-01-15,DENY
CLM000158,POL0085,CLNT0024,2024-01-02,60000,RENT,100000.0,500.0,16.0,LOW,PEND,Large claim; Exceeds 25% threshold,,2024-01-15,PEND
CLM000160,POL0054,CLNT0033,2024-01-09,4500,HOME,100000.0,5000.0,0.0,LOW,APPR,"Auto-approved: low risk, small claim",0.0,2024-01-15,APPR
CLM000162,POL0075,CLNT0011,2024-01-04,2500,RENT,50000.0,2000.0,65.0,MEDIUM,PEND,Medium fraud risk,,2024-01-15,PEND
CLM000163,POL0095,CLNT0010,2024-01-02,2500,RENT,100000.0,500.0,0.0,LOW,APPR,"Auto-approved: low risk, small claim",2000.0,2024-01-15,APPR
CLM000164,POL0066,CLNT0046,2024-01-08,2500,RENT,50000.0,2000.0,93.0,HIGH,DENY,High fraud risk - SIU referral,0.0,2024-01-15,DENY
CLM000165,POL0082,CLNT0015,2024-01-04,60000,RENT,500000.0,500.0,33.0,LOW,PEND,Large claim,,2024-01-15,PEND
CLM000167,POL0080,CLNT0068,2024-01-10,35000,AUTO,50000.0,5000.0,0.0,LOW,PEND,Exceeds 25% threshold,,2024-01-15,PEND
CLM000168,POL0078,CLNT0056,2024-01-12,8000,LIFE,200000.0,500.0,42.0,LOW,APPR,Auto-approved: within 25% of sum insured,7500.0,2024-01-15,APPR
CLM000169,POL0088,CLNT0059,2024-01-07,8000,RENT,50000.0,2000.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,6000.0,2024-01-15,APPR
CLM000170,POL0078,CLNT0048,2024-01-01,8000,LIFE,200000.0,500.0,40.0,LOW,APPR,Auto-approved: within 25% of sum insured,7500.0,2024-01-15,APPR
CLM000172,POL0093,CLNT0031,2024-01-12,4500,HEALTH,50000.0,5000.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,0.0,2024-01-15,APPR
CLM000173,POL0093,CLNT0040,2024-01-08,1000,HEALTH,50000.0,5000.0,27.0,LOW,APPR,Auto-approved: within 25% of sum insured,0.0,2024-01-15,APPR
CLM000176,POL0005,CLNT0040,2024-01-03,8000,RENT,100000.0,5000.0,94.0,HIGH,DENY,High fraud risk - SIU referral,0.0,2024-01-15,DENY
CLM000177,POL0015,CLNT0028,2024-01-13,120000,LIFE,500000.0,2000.0,54.0,MEDIUM,PEND,Medium fraud risk; Large claim,,2024-01-15,PEND
CLM000178,POL0016,CLNT0011,2024-01-11,2500,HOME,50000.0,2000.0,93.0,HIGH,DENY,High fraud risk - SIU referral,0.0,2024-01-15,DENY
CLM000179,POL0013,CLNT0009,2024-01-14,8000,LIFE,500000.0,5000.0,35.0,LOW,APPR,Auto-approved: within 25% of sum insured,3000.0,2024-01-15,APPR
CLM000180,POL0002,CLNT0029,2024-01-12,2500,HEALTH,200000.0,5000.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,0.0,2024-01-15,APPR
CLM000181,POL0081,CLNT0007,2024-01-05,2500,HOME,50000.0,2000.0,18.0,LOW,APPR,"Auto-approved: low risk, small claim",500.0,2024-01-15,APPR
CLM000182,POL0082,CLNT0006,2024-01-04,1000,RENT,500000.0,500.0,12.0,LOW,APPR,"Auto-approved: low risk, small claim",500.0,2024-01-15,APPR
CLM000183,POL0016,CLNT0028,2024-01-04,1000,HOME,50000.0,2000.0,0.0,LOW,APPR,"Auto-approved: low risk, small claim",0.0,2024-01-15,APPR
CLM000185,POL0066,CLNT0044,2024-01-08,4500,RENT,50000.0,2000.0,39.0,LOW,APPR,"Auto-approved: low risk, small claim",2500.0,2024-01-15,APPR
CLM000188,POL0085,CLNT0036,2024-01-09,4500,RENT,100000.0,500.0,0.0,LOW,APPR,"Auto-approved: low risk, small claim",4000.0,2024-01-15,APPR
CLM000189,POL0010,CLNT0077,2024-01-13,8000,LIFE,50000.0,5000.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,3000.0,2024-01-15,APPR
CLM000190,POL0040,CLNT0051,2024-01-14,2500,LIFE,50000.0,5000.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,0.0,2024-01-15,APPR
CLM000192,POL0048,CLNT0028,2024-01-06,35000,RENT,200000.0,2000.0,21.0,LOW,APPR,Auto-approved: within 25% of sum insured,33000.0,2024-01-15,APPR
CLM000193,POL0091,CLNT0036,2024-01-11,15000,HEALTH,500000.0,5000.0,75.0,MEDIUM,PEND,Medium fraud risk,,2024-01-15,PEND
CLM000194,POL0082,CLNT0034,2024-01-12,8000,RENT,500000.0,500.0,35.0,LOW,APPR,Auto-approved: within 25% of sum insured,7500.0,2024-01-15,APPR
CLM000195,POL0028,CLNT0071,2024-01-03,2500,RENT,50000.0,1000.0,21.0,LOW,APPR,"Auto-approved: low risk, small claim",1500.0,2024-01-15,APPR
CLM000196,POL0025,CLNT0076,2024-01-05,60000,LIFE,100000.0,2000.0,0.0,LOW,PEND,Large claim; Exceeds 25% threshold,,2024-01-15,PEND
CLM000197,POL0052,CLNT0077,2024-01-08,4500,RENT,100000.0,2000.0,0.0,LOW,APPR,"Auto-approved: low risk, small claim",2500.0,2024-01-15,APPR
CLM000199,POL0078,CLNT0040,2024-01-02,4500,LIFE,200000.0,500.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,4000.0,2024-01-15,APPR
CLM000200,POL0043,CLNT0043,2024-01-09,35000,AUTO,50000.0,5000.0,0.0,LOW,PEND,Exceeds 25% threshold,,2024-01-15,PEND
